Seed,Subject,Model,Network,Jaccard
42,0,Raw FC (2m),Visual,1.0
42,0,Raw FC (2m),Somatomotor,1.0
42,0,Raw FC (2m),Dorsal Attn,1.0
42,0,Raw FC (2m),Ventral Attn,1.0
42,0,Raw FC (2m),Limbic,1.0
42,0,Raw FC (2m),Control,1.0
42,0,Raw FC (2m),Default Mode,1.0
42,0,BS-NET (2m),Visual,1.0
42,0,BS-NET (2m),Somatomotor,1.0
42,0,BS-NET (2m),Dorsal Attn,1.0
42,0,BS-NET (2m),Ventral Attn,1.0
42,0,BS-NET (2m),Limbic,1.0
42,0,BS-NET (2m),Control,1.0
42,0,BS-NET (2m),Default Mode,1.0
42,1,Raw FC (2m),Visual,0.9333333333333333
42,1,Raw FC (2m),Somatomotor,0.9285714285714286
42,1,Raw FC (2m),Dorsal Attn,0.8571428571428571
42,1,Raw FC (2m),Ventral Attn,0.9333333333333333
42,1,Raw FC (2m),Limbic,0.9333333333333333
42,1,Raw FC (2m),Control,0.9285714285714286
42,1,Raw FC (2m),Default Mode,0.9411764705882353
42,1,BS-NET (2m),Visual,0.9333333333333333
42,1,BS-NET (2m),Somatomotor,0.9285714285714286
42,1,BS-NET (2m),Dorsal Attn,0.8571428571428571
42,1,BS-NET (2m),Ventral Attn,0.9333333333333333
42,1,BS-NET (2m),Limbic,0.9333333333333333
42,1,BS-NET (2m),Control,0.9285714285714286
42,1,BS-NET (2m),Default Mode,0.9411764705882353
42,2,Raw FC (2m),Visual,0.875
42,2,Raw FC (2m),Somatomotor,0.9333333333333333
42,2,Raw FC (2m),Dorsal Attn,0.7857142857142857
42,2,Raw FC (2m),Ventral Attn,1.0
42,2,Raw FC (2m),Limbic,0.875
42,2,Raw FC (2m),Control,0.9285714285714286
42,2,Raw FC (2m),Default Mode,0.9375
42,2,BS-NET (2m),Visual,0.875
42,2,BS-NET (2m),Somatomotor,0.8235294117647058
42,2,BS-NET (2m),Dorsal Attn,0.7857142857142857
42,2,BS-NET (2m),Ventral Attn,0.8571428571428571
42,2,BS-NET (2m),Limbic,0.875
42,2,BS-NET (2m),Control,0.9285714285714286
42,2,BS-NET (2m),Default Mode,0.9375
42,3,Raw FC (2m),Visual,0.875
42,3,Raw FC (2m),Somatomotor,0.8571428571428571
42,3,Raw FC (2m),Dorsal Attn,0.9333333333333333
42,3,Raw FC (2m),Ventral Attn,1.0
42,3,Raw FC (2m),Limbic,0.9285714285714286
42,3,Raw FC (2m),Control,1.0
42,3,Raw FC (2m),Default Mode,1.0
42,3,BS-NET (2m),Visual,0.875
42,3,BS-NET (2m),Somatomotor,0.8571428571428571
42,3,BS-NET (2m),Dorsal Attn,0.9333333333333333
42,3,BS-NET (2m),Ventral Attn,1.0
42,3,BS-NET (2m),Limbic,0.9285714285714286
